"x","y","ident"
"629343.177103947"," 6198589.37246722",1
"629399.128724399"," 6204526.45444093",2
"646243.504237598"," 6215564.21237314",3
"692754.854206847"," 6217516.82729242",4
"715645.189181527"," 6215399.37383277",5
"597892.175086647"," 6256715.00050029",6
"614431.273839946"," 6245356.09771995",7
"652135.447201534"," 6249836.37628177",8
"703869.199756158"," 6259498.47946906",9
"736487.801917648"," 6446943.93753126",10
"774273.610183254"," 6430829.34871368",11
"796851.635786386"," 6419330.54137096",12
"727540.766579454"," 6442004.49674296",13
"759185.896012752"," 6452194.09669655",14
"770387.18891631"," 6446922.93772845",15
"798471.025197448"," 6452665.21906386",16
"728339.546207693"," 6481785.18828695",17
"774252.556751698"," 6471087.91549915",18
"799556.973196247"," 6476936.69183404",19
"914158.915332706"," 6236915.61380048",20
"815410.805756641"," 6265790.21649379",21
"827591.274395244"," 6265670.67158352",22
"847416.327254682"," 6252087.81859781",23
"865845.557457779"," 6261525.86913146",24
"891468.749377133"," 6278949.7703867",25
"924379.854000537"," 6253301.4960628",26
"823716.415595854"," 6290143.76378394",27
"860676.444181076"," 6275336.72366532",28
"887533.178117138"," 6281728.39928194",29
"903792.8313531"," 6281533.04268381",30
"859919.591186403"," 6309435.48432158",31
"466611.748359327"," 6326182.57139723",32
"477628.679566759"," 6334347.3035461",33
"501610.451068052"," 6339713.36486198",34
"479795.235593964"," 6367776.35217516",35
"500718.189703974"," 6363952.1448022",36
"513357.134426267"," 6366893.63099972",37
"491778.176569122"," 6383459.25593579",38
"519759.255160832"," 6390299.13881624",39
"544684.765382506"," 6385921.8004748",40
"614570.016330053"," 6513454.13395916",41
"642266.067047261"," 6499120.28593724",42
"598749.631410697"," 6540443.32853271",43
"608771.603554432"," 6537962.61498457",44
"639017.99417998"," 6535484.89604364",45
"675949.536621873"," 6540593.38562409",46
"595134.369633392"," 6573146.70042324",47
"619472.196600345"," 6572403.81800294",48
"654159.255600192"," 6579913.70782446",49
"673209.803113085"," 6556323.69587388",50
"592844.246183754"," 6579083.81074362",51
"620534.652862643"," 6596988.62374921",52
"639225.744073868"," 6601297.41908678",53
"576438.208051172"," 6447415.22545277",54
"595640.456431393"," 6452251.65627248",55
"640236.175863553"," 6456669.5413627",56
"577056.265115884"," 6471085.32027687",57
"602962.224429321"," 6475625.91397083",58
"632960.460789051"," 6470871.2761418",59
"667311.371474709"," 6480135.16324918",60
"613015.414301153"," 6510920.31907233",61
"637028.555960875"," 6493698.80109037",62
"638575.343639912"," 6406697.02364657",63
"663370.816379174"," 6405011.79557353",64
"633965.911200592"," 6420545.01913174",65
"668455.8504702"," 6415463.26092596",66
"692081.407265125"," 6431471.0517336",67
"711172.484373059"," 6417688.28394509",68
"660522.848104447"," 6441747.08525429",69
"694945.660353025"," 6433306.12569361",70
"714984.811143335"," 6438548.04515152",71
"654310.968641512"," 6483129.47916671",72
"692663.16819316"," 6473230.93680071",73
"713493.462609444"," 6474594.54286716",74
"637393.555270513"," 6792190.92449397",75
"637444.121908214"," 6819306.54609799",76
"658441.209899823"," 6801621.81416284",77
"625990.216156473"," 6817591.46478139",78
"632333.621844467"," 6807089.49854709",79
"657741.967741962"," 6826347.85042722",80
"631680.193531332"," 6841993.82128194",81
"646662.449297313"," 6838279.18334398",82
"655005.458411391"," 6828586.81239653",83
"643846.593970251"," 6856690.55814743",84
"504096.767561691"," 6940816.30346587",85
"513525.507279667"," 6944324.16990621",86
"529272.269489985"," 6940809.96291934",87
"565970.726346221"," 6951902.24367881",88
"597349.072043222"," 6933481.09157047",89
"513263.685104432"," 6964764.51212557",90
"542541.237757351"," 6964223.26165734",91
"558757.501097951"," 6950279.67230434",92
"600455.900831518"," 6974098.41962176",93
"599096.018094939"," 6983717.09311193",94
"908018.671331405"," 6415952.84256836",95
"881092.140338326"," 6447038.06921824",96
"914745.272073373"," 6438570.37291847",97
"928906.531696152"," 6433455.0075278",98
"844990.815195663"," 6475133.8434148",99
"879868.998680207"," 6485767.42273041",100
"899703.953691236"," 6468238.27955624",101
"926081.621627268"," 6466784.15072368",102
"855884.684479272"," 6516051.29261951",103
"866522.475456762"," 6512019.64767169",104
"890845.504094789"," 6541540.41221583",105
"1217361.30931818"," 6045516.79481171",106
"1194162.34798112"," 6083284.34235855",107
"1203968.23266924"," 6060675.24672459",108
"1175296.53148951"," 6093765.16033026",109
"1189926.2272272"," 6086895.65903569",110
"1231916.30392273"," 6085899.39267902",111
"1167972.7466427"," 6123715.18136153",112
"1201720.43805325"," 6109272.61859329",113
"1174815.8710845"," 6132268.24369521",114
"1195774.8717753"," 6121722.01874439",115
"1188684.8991154"," 6154432.00864691",116
"1215343.02931903"," 6124264.12440848",117
"1256415.5447626"," 6131482.70335526",118
"1171380.15759588"," 6161480.12669643",119
"1195437.6723087"," 6154020.57617323",120
"1222430.63013694"," 6137938.83753361",121
"1243382.22769588"," 6160901.16305628",122
"1167686.85973194"," 6182456.70503697",123
"1199308.65458497"," 6176136.58630515",124
"1232650.95571215"," 6186101.46312269",125
"653913.813423724"," 6487044.307641",126
"684766.54536491"," 6479338.37770043",127
"708642.222079642"," 6507106.42484041",128
"756339.238299168"," 6483293.76278935",129
"655051.608709046"," 6504623.12165664",130
"692260.744873711"," 6535673.11998939",131
"724500.915509843"," 6529039.79070501",132
"765256.462776214"," 6518458.64873861",133
"682237.519760893"," 6550077.2355358",134
"735195.714215942"," 6557703.95190929",135
"624421.96544605"," 6261590.2169338",136
"654866.267481932"," 6280102.80485363",137
"669470.60030935"," 6275540.8509132",138
"609059.595898997"," 6298241.39177284",139
"632412.511947292"," 6308299.21213395",140
"647734.943448679"," 6297883.80815132",141
"681702.382178545"," 6282169.97314195",142
"606481.617098015"," 6336450.53438179",143
"622650.330456632"," 6322668.40697535",144
"643320.047102982"," 6305082.79030014",145
